tic,conm,cik,sic
KODK,EASTMAN KODAK CO,31235,3861
ELON.1,ECHELON CORP,31347,3576
ECH.1,ECHLIN INC,31348,3714
ECK.1,ECKERD CORP,31364,5912
ECL,ECOLAB INC,31462,2842
EDBR.,EDISON BROTHERS STORES,31575,5600
EDO.,EDO CORP,31617,3812
ECC.1,ECC INTERNATIONAL CP,31660,3690
EDUC,EDUCATIONAL DEVELOPMENT CORP,31667,5190
OPMHQ,OPTO MECHANIK INC,31688,3827
RVTY,REVVITY INC,31791,3826
EE.2,EL PASO ELECTRIC CO,31978,4911
ELCN,ELCO INDUSTRIES INC,32013,3452
ELK,ELKCORP,32017,2950
EBSC,ELDER BEERMAN STORES CORP,32020,5311
3ECTHE,ELECTRO CATHETER CORP,32120,3841
ELRC,ELECTRO RENT CORP,32166,7359
FCMI,FUTURE COMMUNICATIONS,32190,4833
ELMG,EMS TECHNOLOGIES INC,32198,3663
ELMD.1,ELECTROMEDICS INC,32203,3841
ELCS,ELECTRONIC CONTROL SYS INC,32228,3613
EISI,EIS INTERNATIONAL INC,32251,3661
TTN,TITAN CORP,32258,7373
TFSIQ,THREE-FIVE SYSTEMS INC,32272,3674
ECIN,EMCEE BROADCAST PRODUCTS INC,32312,3663
ELT.1,ELSCINT LTD,32522,7011
EXGI,ENGEX INC,32598,6726
EMR,EMERSON ELECTRIC CO,32604,3823
MSN,EMERSON RADIO CORP,32621,3651
EMON.1,EMONS TRANSPORATION GROUP,32666,4011
EDE,EMPIRE DISTRICT ELECTRIC CO,32689,4911
GOLX,ENERGETICS INC,32866,1311
QUIX,QUIXOTE CORP,32870,3089
ENERQ,ENERGY CONVERSION DEV,32878,3674
ENGH.1,ENGRAPH INC,32991,2670
EBF,ENNIS INC,33002,2761
TXU2,TXU GAS CO,33015,4923
VKSC,VISKASE COMPANIES INC,33073,3089
ETCC,ENVIRONMENTAL TECTONICS CORP,33113,3728
EFX,EQUIFAX INC,33185,7323
EQK,EQUIMARK CORP,33189,6020
3ECOA,EQUIPMENT CO OF AMERICA,33195,3537
EQT,EQT CORP,33213,1311
EQTY.1,EQUITY OIL CO,33325,1311
7632B,ERIE LACKAWANNA INC,33420,6799
ESCA,ESCALADE INC,33488,3949
ESP,ESPEY MFG & ELECTRONICS CORP,33533,3679
EE.1,ESQUIRE RADIO & ELECTRON INC,33541,5065
ESL,ESTERLINE TECHNOLOGIES CORP,33619,3812
ETZLF,ETZ LAVUD LTD,33681,3080
BOBE,BOB EVANS FARMS,33769,2013
EVAN,EVANS INC,33780,5600
3GROSQ,GROSSMANS INC,33798,5211
CRF,CORNERSTONE TOTAL RETURN FD,33934,6726
FOUR.2,FORUM GROUP INC,33939,8300
KINS,KINGSTONE COS INC,33992,6331
BOOM,DMC GLOBAL INC,34067,3533
XOM,EXXON MOBIL CORP,34088,2911
CLE,CLAIRES STORES INC,34115,5600
FMN.1,F & M NATIONAL CORP,34125,6020
FITN,FAB INDUSTRIES INC,34136,2250
JAS,JO-ANN STORES INC,34151,5940
FBRC.,FABRICLAND INC,34165,5940
TDDB,THREE D DEPARTMENT  -CL B,34169,5700
PFIL,PUROLATOR PRODUCTS CO,34181,3714
FGRD,FAIR GROUNDS CORP,34236,7948
FMTC,FAIRMOUNT CHEMICAL CO INC,34296,2860
FCPR,FALCON PRODUCTS INC,34339,2590
FAL.3,FALL RIVER GAS CO,34371,4924
FDO,FAMILY DOLLAR STORES,34408,5331
FELI,FANSTEEL INC/DE,34471,3360
WI,WESTMINSTER CAPITAL INC,34489,3990
CVST,COVISTA COMMUNICATIONS INC,34497,4813
FRA.1,FARAH INC,34501,2320
FARM,FARMER BROS CO,34563,2090
FARC,FARR CO,34629,3569
FARL,FARREL CORP,34645,3559
FAY.1,FAYS INC,34768,5912
SRCE,1ST SOURCE CORP,34782,6020
FBO,FEDERAL PAPER BOARD CO,34891,2631
FRT,FEDERAL REALTY INVESTMENT TR,34903,6798
FSCR,FEDERAL SCREW WORKS,34908,3452
TENX,TENAX THERAPEUTICS INC,34956,2836
FEDP,FEDERATED PURCHASER INC,34977,5065
FOE,FERRO CORP,35214,2851
FLD.1,FIELDCREST CANNON,35469,2211
FITB,FIFTH THIRD BANCORP,35527,6020
ORPC,ORION PICTURES CORP,35590,7812
FNIN,FINANCIAL INDUSTRIES CORP,35733,6311
FFIN,FIRST FINL BANKSHARES INC,36029,6020
CLGX,CORELOGIC INC,36047,7374
MGR.1,MAGNA GROUP INC,36094,6020
USB,US BANCORP,36104,6020
DMNG,DAMON GROUP INC,36127,8071
TRMK,TRUSTMARK CORP,36146,6020
FNB.,FIRST CHICAGO CORP,36161,6020
FSTC.1,FIRST CITIZENS CORP,36172,6035
FBT.1,FIRST CITY BANCORP TEX-DEL,36173,6020
FCOM.,FIRST COMMERCE CORP,36204,6020
EASTS,EASTOVER CORP,36207,6798
MTB,M&T BANK CORP,36270,6020
FFM.1,FIRST FINANCIAL MGMT CORP,36326,7323
PREM.1,PREMIER FINANCIAL SERVICES,36340,6020
GOLD.2,GOLDENBANKS COLORADO INC,36352,6020
FHB,FIRST HAWAIIAN INC,36377,6020
MFNC,MACKINAC FINANCIAL CORP,36506,6020
FMBC.,FIRST MICHIGAN BANK CORP,36522,6020
BKB.2,BANKBOSTON CORP,36672,6020
FOA.1,FIRST OF AMERICA BANK CORP,36703,6020
LBC.2,LANDMARK BANCSHARES CORP,36948,6020
FHN,FIRST HORIZON CORP,36966,6020
WB.3,WACHOVIA CORP,36995,6020
FUR,WINTHROP REALTY TRUST,37008,6798
FVB,FIRST VIRGINIA BANKS INC,37032,6020
FWVB,FIRST WEST VIRGINIA BANCORP,37049,6020
FWES,FIRST WESTERN FINANCIAL CORP,37059,6035
FSR.2,FIRSTAR CORP-OLD,37076,6020
FBIC.1,FIRSTBANK ILL CO,37093,6020
FP.1,FISCHER & PORTER CO,37115,3823
UTL1,FITCHBURG GAS & ELEC LIGHT,37248,4931
FAME,FLAMEMASTER CORP,37358,2891
FLXS,FLEXSTEEL INDUSTRIES INC,37472,2510
FSI.2,FLIGHTSAFETY INTERNATIONAL,37481,8200
GSVE,GERALD STEVENS INC,37525,5990
FPU,FLORIDA PUBLIC UTILITIES CO,37643,4931
FRK,FLORIDA ROCK INDUSTRIES INC,37651,3270
FLK.1,FLUKE CORP,37743,3825
MEE,MASSEY ENERGY CO,37748,1220
FCY.1,FURON CO,37755,3050
FMC,FMC CORP,37785,2870
FNB,F N B CORP/FL,37808,6020
DEG1,DELHAIZE AMERICA INC,37912,5411
FSM.2,FOODARAMA SUPERMARKETS,37914,5411
TNO.1,TRUE NORTH COMMUNICATIONS,37931,7311
FGI.,FOOTHILL GROUP INC  -CL A,37941,6153
FBTR,FOR BETTER LIVING INC,37946,3272
F,FORD MOTOR CO,37996,3711
FRX.1,FOREST LABORATORIES  -CL A,38074,2834
FDI,FORT DEARBORN INCOME SECS,38188,6726
FORT.1,FORT HOWARD CORP,38195,2621
FPXA,FORTUNE NATURAL RESOURCES CP,38242,1311
FWDI,FORWARD INDUSTRIES INC,38264,8711
FRTH,FOURTH FINANCIAL CORP,38475,6020
AIHC,AMERISTAR INTL HOLDINGS CP,38483,6532
OHBIQ,ORLEANS HOMEBUILDERS INC,38570,1531
FELE,FRANKLIN ELECTRIC CO INC,38725,3621
BEN,FRANKLIN RESOURCES INC,38777,6282
TAVI.1,THORN APPLE VALLEY INC,38851,2011
FOH.B,FREDERICKS OF HOLLYWD  -CL B,38868,5600
ELLH,ELAH HOLDINGS INC,38984,9995
FEIM,FREQUENCY ELECTRONICS INC,39020,3825
FRS,FRISCH'S RESTAURANTS INC,39047,5812
FRD,FRIEDMAN INDUSTRIES INC,39092,3310
FRN.2,FRIENDLY ICE CREAM CORP,39135,5812
CFR,CULLEN/FROST BANKERS INC,39263,6020
FFEX,FROZEN FOOD EXPRESS INDS,39273,4213
IBCP,INDEPENDENT BANK CORP/MI,39311,6020
FUL,FULLER (H. B.) CO,39368,2891
BKSO,BANK SOUTH CORP,39394,6020
3LFTI,LIFETIME PRODUCTS INC,39503,5961
MTRM,METROMEDIA INTERNATIONAL GRP,39547,4813
GK.2,G&K SERVICES INC  -CL A,39648,7200
AVHI.1,A V HOMES INC,39677,1531
GHX,GALVESTON HOUSTON,39838,3531
TGNA,TEGNA INC,39899,4833
GAP,GAP INC,39911,5651
GAN.,GARAN INC,39917,2300
GATX,GATX CORP,40211,4700
GAM,GENERAL AMERICAN INVESTORS,40417,6726
GAEX,GA EXPRESS INC,40443,7372
BOAT.1,BOATMENS BANCSHARES INC,40454,6020
GBND.1,GENERAL BINDING CORP,40461,3579
3GBDCE,GENERAL BUILDERS CORP,40472,7011
H.2,HARCOURT GENERAL INC,40493,2731
GNIZQ,GENERAL CREDIT CORP,40511,6153
GNRD,GENERAL DATACOMM INDUSTRIES,40518,3661
MCLN,MEDCLEAN TECHNOLOGIES INC,40528,4955
GD,GENERAL DYNAMICS CORP,40533,3721
DEVN,DEVON GROUP INC,40542,2790
GE,GE AEROSPACE,40545,3724
JOB,GEE GROUP INC,40570,7361
GH.2,GENERAL HOST CORP,40638,5200
GHW,GENERAL HOUSEWARES,40643,3360
SEM.2,GENERAL SEMICONDUCTOR INC,40656,3674
GKIN.1,GENERAL KINETICS INC,40675,3490
GMCC.1,GENERAL MAGNAPLATE CORP,40687,3470
GMW.1,GENERAL MICROWAVE CORP,40703,3679
GIS,GENERAL MILLS INC,40704,2040
ALLY,ALLY FINANCIAL INC,40729,6172
GPU.,GPU INC,40779,4911
GTE.1,GTE CORP,40858,4813
AJRD,AEROJET ROCKETDYNE HOLDINGS,40888,3760
3GENBB,GENESEE CORP  -CL B,40934,2030
3BPSY,BIOPLASTY INC,40944,3842
GII.2,GREINER ENGINEERING INC,40956,8711
GDX.A,GENOVESE DRUG STORES  -CL A,40970,5912
GEN.2,GENRAD INC,40972,3825
GPC,GENUINE PARTS CO,40987,5013
GEOI,GEORESOURCES INC,41023,1311
BOTX,BONTEX INC,41052,2670
GP.1,GEORGIA-PACIFIC CORP,41077,2600
GTSC,GTS CORP,41107,1382
GEB.1,GERBER PRODUCTS CO,41130,2030
GRB,GERBER SCIENTIFIC INC,41133,3559
GEMC,GERIATRIC & MEDICAL COS INC,41147,8051
GFS.A,GIANT FOOD INC  -CL A,41289,5411
GGLT,GIANT GROUP LTD,41296,9995
ROAKF,ROYAL OAK MINES INC,41304,1040
GIB.1,GIBSON (CR) CO,41365,2780
G.1,GILLETTE CO,41499,3420
MAGN,MAGNERA CORP,41719,2600
GDS.B,GLENMORE DISTILLERIES  -CL B,41781,2080
BLKO,BALKORE INDUSTRIES INC,41980,3490
CAON,CHANG-ON INTERNATIONAL INC,42136,3089
3JGIN,JG INDUSTRIES INC,42179,5311
GLDC,GOLDEN ENTERPRISES,42228,2090
MIR.1,MIRAGE RESORTS INC,42246,7990
WTMK,WHITEMARK HOMES INC,42284,9995
GDW,GOLDEN WEST FINANCIAL CORP,42293,6035
GDXMF,GOLDEX MINES LTD,42311,1040
GV.2,GOLDFIELD CORP,42316,1623
GWOX,GOODHEART-WILLCOX CO INC,42504,2731
GR,GOODRICH CORP,42542,3728
GT,GOODYEAR TIRE & RUBBER CO,42582,3011
GRC,GORMAN-RUPP CO,42682,3561
GULD.,GOULDS PUMPS INC,42791,3561
GGG,GRACO INC,42888,3561
GSCC,GRAPHIC SCANNING CORP,43142,4812
GTN,GRAY MEDIA INC,43196,4833
GAMI.1,GREAT AMERICAN MGMT & INVT,43287,3564
GAPTQ,GREAT ATLANTIC & PAC TEA CO,43300,5411
IIGI,INVESTORS INSURANCE GROUP,43340,9995
EGAS,GAS NATURAL INC,43350,4924
GLK.1,GREAT LAKES CHEMICAL CORP,43362,2890
GNI,GREAT NORTHERN IRON ORE PPTY,43410,6795
GWF.,GREAT WESTERN FINANCIAL,43512,6035
ROPK,ROPAK CORP,43514,3089
JPI.1,JUPITER NATIONAL,43620,6726
GMP.1,GREEN MOUNTAIN POWER CORP,43704,4911
NKID,NOODLE KIDOODLE INC,43837,5945
GEF,GREIF INC  -CL A,43920,2650
GREY,GREY GLOBAL GROUP INC,43952,7311
GRST.1,GRIST MILL CO,44041,2060
GRO.2,GROW GROUP INC,44171,2851
GQ.1,GRUMMAN CORP,44279,3721
GGTI,GTI CORP,44319,3679
GNC.2,GUARANTY NATIONAL CORP,44358,6331
GPI.2,GUARDSMAN PRODUCTS INC,44420,2851
3GMIL,GUILFORD MILLS INC,44471,2250
PCI.3,PARAMOUNT COMMUNICATIONS INC,44482,7812
3GUSCE,GULF USA CORP,44549,1221
ETR7,ENTERGY GULF STATES LA LLC,44570,4911
HACH,HACH CO,44764,3826
NLX.2,ANALEX CORP,44800,7370
HAD,HADSON CORP,44801,4922
HAL,HALLIBURTON CO,45012,1389
HDIG,HAMILTON DIGITAL CONTROL INC,45136,3679
3HPTI,HAMPTON INDUSTRIES,45260,2320
HNH.1,HANDY & HARMAN,45333,3350
3HANKE,HANKS SEAFOOD CO INC,45356,5140
MAH.1,HANNA (M A) CO,45370,3080
HRD.1,HANNAFORD BROTHERS CO,45379,5411
HBJ,HARCOURT BRACE JOVANOVICH,45529,2731
JH,HARLAND (JOHN H.) CO,45599,2780
AXRX,AMEXDRUG CORP,45621,5122
HRMN.1,HARMON INDUSTRIES INC,45635,3669
CRCL.,CIRCLE INTERNATIONAL GRP INC,45674,4731
PAUHQ,PAUL HARRIS STORES,45791,5621
NVRI,ENVIRI CORP,45876,3390
HHS,HARTE HANKS INC,45919,7331
HAVA.1,HARVARD INDUSTRIES INC,46012,3060
HRVEQ,HARVEY ELECTRONICS INC,46043,5731
HAS,HASBRO INC,46080,3944
HGMG,HASTINGS MANUFACTURING CO,46109,3590
ALNT,ALLIENT INC,46129,3621
HAT,HATTERAS INCOME SECS,46135,6726
BOH,BANK OF HAWAII CORP,46195,6020
HWKB,HAWKEYE BANCORPORATION,46238,6020
HWKN,HAWKINS INC,46250,5160
HTHR,HAWTHORNE FINANCIAL CORP,46267,6035
HCLC,HEALTH-CHEM CORP,46428,2200
HMII,HMI INDUSTRIES INC,46445,3630
HLCO.1,HEALTHCO INTL INC,46454,5047
HDYN.,HEALTHDYNE INC,46455,3845
9668B,HECHINGER CO  -CL A,46517,5211
HMYRQ,HEILIG-MEYERS CO,46601,5712
HNW.1,HEIN-WERNER CORP,46613,3559
HEI,HEICO CORP,46619,3724
AIH.2,ABLEST INC,46653,7363
3RGEQ,REGENCY EQUITIES CORP,46656,6512
HELX.1,HELIX TECHNOLOGY CORP,46709,3560
HF.2,HELLER FINANCIAL INC,46738,6153
HP,HELMERICH & PAYNE,46765,1381
HPC,HERCULES INC,46989,2890
HRLY,HERLEY INDUSTRIES INC/DE,47035,3812
HSY,HERSHEY CO,47111,2060
HPQ,HP INC,47217,3570
3TRDXQ,TRIDEX CORP,47254,7372
3HISR,HI-SHEAR INDUSTRIES,47268,9995
HIB,HIBERNIA CORP  -CL A,47288,6020
CRAWA,CRAWFORD UNITED CORP,47307,3490
HRC,HILL-ROM HOLDINGS INC,47518,2590
HIP,HIPOTRONICS INC,47647,3825
HTHIY,HITACHI LTD,47710,9997
HDGH,HODGSON HOUSES INC,47800,2452
HOE,HOECHST AG,47824,2800
3VTSC,VIRAL TESTING SYSTEMS CORP,48107,2835
HBENB,HOME BENEFICIAL CORP  -CL B,48174,6311
HO,HOME OIL CO LTD,48216,1311
3DOVRA,DOVER INVESTMENT CP  -CL A,48272,1531
HMCQE,HOMESTEAD MINERALS CORP,48276,1400
HNI,HNI CORP,48287,2522
HON.Z,HONEYWELL INC,48305,3822
HRL,HORMEL FOODS CORP,48465,2011
WYNT,WYANT CORP,48569,2670
0780B,HOUGHTON MIFFLIN CO,48638,2731
HOW.,HOWELL INDUSTRIES INC,48824,3460
HUBB,HUBBELL INC,48898,3640
HGC.1,HUDSON GENERAL CORP,48948,4581
HUG,HUGHES SUPPLY INC,49029,5070
HUM,HUMANA INC,49071,6324
HUPH,HUMPHREY INC,49101,3812
HUN.2,HUNT CORP,49146,3579
HBAN,HUNTINGTON BANCSHARES,49196,6020
SCNYB,SAUCONY INC  -CL B,49401,3021
WTR.2,AQUARION CO,49423,4941
HFLM,HYDRO FLAME CORP,49438,3433
FMYR,FAMILY ROOM ENTMT CORP,49444,7812
LPHIQ,LIFE PARTNERS HOLDINGS INC,49534,6411
ICHP,ICH CORP,49588,5812
EGP,EASTGROUP PROPERTIES,49600,6798
IEC,IEC ELECTRONICS CORP,49728,3672
DIN,DINE BRANDS GLOBAL INC,49754,6794
ITW,ILLINOIS TOOL WORKS,49826,3560
IMP.1,IMPERIAL BANCORP,49899,6020
ICIYY,ICI-IMPERIAL CHEM INDS PLC,49906,2800
IPII,IMPERIAL INDUSTRIES INC,49930,5030
IMO,IMPERIAL OIL LTD,49938,2911
IIS,CIGNA INVESTMENT SECURITIES,49975,6726
INCLF,INCO LTD,49996,3330
ANDV,ANDEAVOR,50104,2911
INBF,INB FINANCIAL CP,50200,6020
IACI.,INDUSTRIAL ACOUSTICS CO INC,50253,3569
IEHC,IEH CORP,50292,3678
FBF,FLEETBOSTON FINANCIAL CORP,50341,6020
3NATC.,NATEC RESOURCES INC,50361,1400
3INFD,INFODATA SYSTEMS INC,50420,7370
TRAK,REPOSITRAK INC,50471,7370
IMKTA,INGLES MARKETS INC  -CL A,50493,5411
INTO,INITIO INC,50505,8742
IIII.1,INNOTECH INC,50587,3559
INVX.1,INNOVEX INC,50601,3674
JAV,JAVELIN PHARMACEUTICALS INC,50710,2834
ISN.1,INSTRON CORP,50716,3829
GFF,GRIFFON CORP,50725,3420
INTP.1,INTERPOINT CORP,50842,3679
INTC,INTEL CORP,50863,3674
DRC.2,DAIN RAUSCHER CORP,50916,6211
FBNIQ,FURNITURE BRANDS INTL INC,50957,2510
IGLC,INTEK GLOBAL CORP,50977,5065
ILCO.1,INTERCONTINENTAL LIFE CORP,50982,6311
INTR.2,INTERMEC CORP,51017,3577
IAL,INTERNATIONAL ALUMINUM CORP,51103,3442
3ABNTQ,AMERICAN BANKNOTE CORP,51124,2750
IBM,INTL BUSINESS MACHINES CORP,51143,7370
INDQA,INTL DAIRY QUEEN  -CL A,51207,5140
IFF,INTL FLAVORS & FRAGRANCES,51253,2860
MKG,MALLINCKRODT INC,51396,3842
IMC.1,INTL MULTIFOODS CORP,51410,2040
IP,INTL PAPER CO,51434,2631
IRPPF,INTERNATIONAL PETROLEUM CORP,51442,1311
GRXR,GROUND ROUND RESTAURANT,51467,5812
IRDVQ,INTL RESEARCH & DEV CORP,51497,8731
RRT,RESOURCE RECYCLING TECH,51519,5090
ISCA,INTL SPEEDWAY CORP  -CL A,51548,7948
IPG,INTERPUBLIC GROUP OF COS,51644,7311
IPW.1,INTERSTATE POWER CO,51720,4931
CORSQ,CORUS BANKSHARES INC,51939,6020
WNMLA,WINMILL & CO INC  -CL A,52234,6282
ION.2,IONICS INC,52466,3559
IBP.1,IBP INC,52477,2011
IWG,IOWA-ILLINOIS GAS & ELEC,52491,4931
EYE.2,STERLING OPTICAL CORP,52522,5990
MYAG,MERCURY AIR GROUP INC,52532,5172
SHOS.1,SOUTHERN HOSPITALITY,52552,5812
3IXTC,IRT CORP,52589,3844
IRWNQ,IRWIN FINANCIAL CORP,52617,6020
RSTF,SUNRESORTS LTD  -CL A,52677,7011
IOMT,ISOMET CORP,52708,3577
IICR,IIC INDUSTRIES INC,52741,5080
AXE,ANIXTER INTL INC,52795,5065
RYN,RAYONIER INC,52827,6798
ILHL,INTL LEISURE HOSTS,52935,7011
JCLY,JACLYN INC,52969,2300
JACO,JACO ELECTRONICS INC,52971,5065
J,JACOBS SOLUTIONS INC,52988,8700
JCBSQ,JACOBSON STORES,53025,5311
FJ,FORT JAMES CORP,53117,2621
JMYCQ,JAMESWAY CORP,53134,5331
JAYA,JAYARK CORP,53260,5065
SMFR.1,SUMMIT FAMILY RESTAURNTS INC,53281,5812
JBNC,JEFFERSON BANCORP INC,53316,6020
JP.1,JEFFERSON-PILOT CORP,53347,6311
NWBA,NEW BASTION DEVELOPMENT INC,53500,6552
ANI.1,AUDIO COMMUNICATIONS NETWORK,53678,7389
JPC.1,JOHNSON PRODUCTS,53748,2844
JOSL,JOSLYN CORP,54045,3620
JOSEA,JOSTENS INC,54050,3911
3CECN,CEC INDUSTRIES CORP,54175,1531
JSTN,JUSTIN INDUSTRIES,54182,3250
MAYS,MAYS (J.W.) INC,54187,6512
KTLI,K-TEL INTERNATIONAL,54193,6794
KHLR.,KAHLER CORP,54235,7011
KAMN,KAMAN CORP,54381,3720
FRM,FURMANITE CORP,54441,1700
KCLI,KANSAS CITY LIFE INS CO,54473,6311
KSU,KANSAS CITY SOUTHERN,54480,4011
WR1,KANSAS GAS & ELECTRIC CO,54496,4911
KATYQ,KATY INDUSTRIES INC,54681,9995
SAI.1,SUNAMERICA INC,54727,6311
HWK.4,KAUFMAN HW FINANCIAL GROUP,54750,6411
KEA,KEANE INC,54883,7371
KEI,KEITHLEY INSTRUMENTS INC,54991,3825
K,KELLANOVA,55067,2040
KWD,KELLWOOD CO,55080,2330
KELYA,KELLY SERVICES INC  -CL A,55135,7363
KEM.1,KEMPER CORP,55195,6311
KMT,KENNAMETAL INC,55242,3540
IHRC,INVESTORS HERITAGE CAP CORP,55362,6311
3KNWNE,KENWIN SHOPS INC,55393,5621
KGM,KERR GROUP INC,55454,3089
KCH.1,KETCHUM & CO,55510,5122
KEQU,KEWAUNEE SCIENTIFIC CORP,55529,3821
KYCN,KEYSTONE CONS INDUSTRIES INC,55604,3312
KII.,KEYSTONE INTERNATIONAL,55642,3490
KIDD,FIRST YEARS INC,55698,3080
KPI.2,KILLEARN PROPERTIES INC,55742,6552
KBAL,KIMBALL INTERNATIONAL  -CL B,55772,2520
KMB,KIMBERLY-CLARK CORP,55785,2621
NGAC.1,NORTH AMER GALV & COATINGS,55805,3470
ESGR.,ENSTAR GROUP INC,55820,6799
KEX,KIRBY CORP,56047,4400
KTMC,KIT MANUFACTURING,56151,3790
KLRT,KLEINERTS INC,56252,2300
KLMR,KLM ROYAL DUTCH AIRLINES,56316,4512
3KMSIE,KMS INDUSTRIES INC,56356,8731
KNAP,KNAPE & VOGT MFG CO,56362,2540
KNO.1,KNOGO CORP,56439,3669
KOL.1,KOLLMORGEN CORP,56583,3621
KFY,KORN FERRY,56679,7361
KOSS,KOSS CORP,56701,3651
KRSL,KREISLER MANUFACTURING CORP,56806,3724
3KRLZE,KRELITZ INDUSTRIES INC,56808,5122
PNRG,PRIMEENERGY RESOURCES CORP,56868,1311
RFDS,RYMER FOODS INC,56871,2013
KR,KROGER CO,56873,5411
KUH,KUHLMAN CORP,56955,3510
KLIC,KULICKE & SOFFA INDUSTRIES,56978,3559
3KUSTE,KUSTOM ELECTRONICS INC,57041,9995
KVPHQ,K V PHARMACEUTICAL  -CL A,57055,2834
KYOCY,KYOCERA CORP,57083,3674
LZB,LA-Z-BOY INC,57131,2510
LB.1,LA BARGE INC,57139,3812
3LCLDQ,LACLEDE STEEL CO,57187,3312
QTRAQ,QUENTRA NETWORKS INC,57201,4813
LMS,LAMSON & SESSIONS CO,57497,3640
MZTI,MARZETTI CO (THE),57515,2030
LNCE,SNYDERS-LANCE INC,57528,2052
LANZ,LANCER ORTHODONTICS INC,57538,3843
LCINQ,LANNETT CO INC,57725,2834
LAW.1,LAWTER INTERNATIONAL INC,58091,2821
LCSI,LCS INDUSTRIES INC,58151,7331
LRIO,LEARONAL INC,58172,2890
LDVL,LEADVILLE CORP,58204,6795
8236B,ACTION STAFFING INC,58254,7363
LEE,LEE ENTERPRISES INC,58361,2711
LEG,LEGGETT & PLATT INC,58492,2510
FMDG.1,FIRST MEDICAL GROUP INC,58526,8011
FOURQ,4LICENSING CORP,58592,6794
ANV.1,AEROQUIP-VICKERS INC,59198,3490
LC.1,LIBERTY CORP,59229,4833
LIBHA,LIBERTY HOMES  -CL A,59240,2452
VHI,VALHI INC,59255,2810
VGR,VECTOR GROUP LTD,59440,2111
LLY,LILLY (ELI) & CO,59478,2834
LI.1,LILLY INDS INC  -CL A,59479,2851
LINB,LIN BROADCASTING,59498,4812
LECO,LINCOLN ELECTRIC HLDGS INC,59527,3540
LFIN.,LINCOLN FINANCIAL CORP,59532,6020
LNC,LINCOLN NATIONAL CORP,59558,6311
LND.1,LINCOLN NATIONAL INCOME FUND,59560,6726
LNDL,LINDAL CEDAR HOMES INC,59591,2452
LIND.1,LINDBERG CORP,59593,3390
UTDL,UNITED LEISURE CORP,59684,5810
3LIOC.,LIONEL CORP,59696,5945
FUNW,LITTLEFIELD ADAMS & CO,59870,5130
LIT.1,LITTON INDUSTRIES INC,59880,3730
LOC,LOCTITE CORP,60041,2891
L,LOEWS CORP,60086,6331
LGMTA,LOGIMETRICS INC  -CL A,60128,3663
LCE,LONE STAR INDUSTRIES,60195,3241
LFB,LONGVIEW FIBRE CO,60302,2650
LOR.2,LORAL CORP,60357,3812
LLX.,LOUISIANA LAND & EXPLORATION,60512,1311
LPX,LOUISIANA-PACIFIC CORP,60519,2400
CLG.2,COLONIAL GAS CO,60653,4924
LOW,LOWE'S COS INC,60667,5211
LXU,LSB INDUSTRIES INC,60714,2810
LTVCQ,LTV CORP,60731,3312
LZ.1,LUBRIZOL CORP,60751,2990
LUFK,LUFKIN INDUSTRIES INC,60849,3533
LUC.1,LUKENS INC,60860,3312
CYBI,CYBEX INTERNATIONAL INC,60876,3949
ATPX,ADV TECHNICAL PRODUCTS INC,60911,3460
LDL,LYDALL INC,60977,3714
LGL,LGL GROUP INC,61004,3679
MRD.1,MACDERMID INC,61138,2890
MMBL,MACMILLAN BLOEDEL LTD,61265,2400
TELL,TELLURIAN INC,61398,1311
MCU.1,MAGMA COPPER CO,61425,3330
AMGIA,ASCENT MEDIA GROUP INC,61442,7819
ADCT.1,ADC TELECOMMUNICATIONS INC,61478,3661
ARWM,ARROW MAGNOLIA INTL INC,61494,2851
MAJR.,MAJOR REALTY CORP,61666,6552
RBW.1,R B & W CORP,61927,5072
7554B,MANHATTAN NATIONAL CORP,61952,6311
MTW,MANITOWOC CO,61986,3530
MHC.1,MANUFACTURERS HANOVER CORP,62119,6020
MNTL.1,MANUFACTURERS NATIONAL CORP,62126,6020
MDA.1,MAPCO INC,62142,2911
MCS,MARCUS CORP,62234,7830
SUMX,SUMMA INDUSTRIES,62262,3089
MARPS,MARINE PETROLEUM TRUST,62362,6792
MKC.1,MARION MERRELL DOW INC,62391,2834
IV.,MARK IV INDUSTRIES INC,62418,3714
MFAC.1,MARKET FACTS INC,62465,8700
MARQ,MARQUETTE MEDICAL SYS,62675,3845
MMC,MARSH & MCLENNAN COS,62709,6411
MARSB,MARSH SUPERMARKETS  -CL B,62737,5411
MI.6,MARSHALL INDUSTRIES,62765,5065
MNC.2,MNC FINANCIAL INC,62973,6020
MAS,MASCO CORP,62996,3430
VAT,VARITY CORP,63118,3714
PCRHY,PANASONIC HOLDINGS CORP,63271,3600
MAT,MATTEL INC,63276,3942
MATW,MATTHEWS INTL CORP  -CL A,63296,3990
MLP,MAUI LAND & PINEAPPLE CO,63330,6552
MAY.2,MAY DEPARTMENT STORES CO,63416,5311
MAYP10,HALL FINANCIAL GROUP,63436,6510
MAYF,MAYFLOWER GROUP INC/IN,63506,4210
MOIL,MAYNARD OIL CO,63528,1311
MYG.1,MAYTAG CORP,63541,3630
MCCL,MCCLAIN INDUSTRIES INC,63686,3443
MKC,MCCORMICK & CO INC,63754,2090
MAXX,MAXXAM INC,63814,6500
MCD,MCDONALD'S CORP,63908,5812
MD.1,MCDONNELL DOUGLAS CORP,63917,3721
MCFE.1,MCFARLAND ENERGY INC,63959,1311
SPGI,S&P GLOBAL INC,64040,7323
