conm,tic,cik,sic
ANDOVER CONTROLS CORP,ANDO,726637,3822
ANDREA ELECTRONICS CORP,ANDR,6494,3663
ANDREW CORP,ANDW,317093,3357
ANDROS INC,ANDY,352425,3829
ANDY GARD CORP,AGD.2,6550,3089
ANGELES CORP,ANGC,316315,6513
ANGELICA CORP,AGL.1,6571,7200
IQUNIVERSE INC,IQUN,716399,9995
ANGIOMEDICS INC,AGMD,724705,3841
ANIMED INC,3VTESE,773936,8734
ANDERSONS INC,ANDE,821026,5150
NABORS INDUSTRIES LTD,NBR,1163739,1381
ANGSTROM TECHNOLOGIES INC,AGTT,725774,2890
ANHEUSER-BUSCH COS INC,BUD.2,310569,2082
ANITEC IMAGE TECHNOLOGY CORP,ANTC.,766705,3861
ANNANDALE CORP,ANNAE,318499,8742
BIW LTD,BIW,1169237,4941
ANSUL CO,AFX.1,6699,3569
ANTA CORP,ANA.2,6701,3350
ANTARES OIL CORP,ANTS.,6706,1311
ANTEX CORP,NTEX,87497,3530
ANTHEM ELECTRONICS INC,ATM.1,727120,5065
K2 INC,KTO,6720,3949
APA CORP,APA,1841666,1311
APACHE ENERGY&MINERALS,APCQE,315645,6792
APACHE PETROLEUM  -LP,6056B,769529,1311
APOLLO SOLAR ENERGY INC,ASOE,726435,3330
APCO OIL AND GAS INTL INC,APAGF,311471,1311
APCO OIL CORP,AOL.1,6811,2911
APEXCO INC,APXO,6831,1311
APEXX INVESTING GROUP,2311B,33112,6519
APOGEE ENTERPRISES INC,APOG,6845,3442
APOLLO LASERS INC,APLE.1,6857,3690
APPALACHIAN POWER,AEP1,6879,4911
APPLE INC,AAPL,320193,3663
APOLLO COMPUTER INC,APCI.,714277,3571
APPLIED BIOSYSTEMS INC -OLD,8346B,719545,3826
APPLIED COMMUNICATIONS INC,ACIS,317229,7372
TOWNE PAULSEN INC,TOWN.1,721671,2834
APPLIED DATA COMMUNICATIONS,3ADCC.,728398,3559
APPLICON INC,APPL.1,225049,7373
APPLIED DATA RESEARCH INC,ADR.2,6928,7372
APPLIED DEVICES,4029B,6931,3690
APPLIED GENETICS INTL INC,AGII.,888895,700
APPLIED MAGNETICS CORP,AMPMQ,6948,3679
APPLIED MATERIALS INC,AMAT,6951,3559
SINO SHIPPING HOLDINGS INC,SSHZ,312258,4412
ENERPAC TOOL GROUP CORP,EPAC,6955,3533
APPLIED SOLAR ENERGY CORP,SOLR.2,311882,3674
APRIL INDUSTRIES INC,1352B,6974,1531
TRECORA RESOURCES,TREC,7039,2911
ARACCA PETROLEUM CORP,3ARAC,317173,6792
ARAPAHO PETROLEUM INC,7266B,7047,1311
APPLIED INDUSTRIES INC,1967B,6943,3490
ADVANCED OXYGEN TECHNOLOGY,AOXY,352991,6512
AQUA SOL INC,AQSLE,1052673,3585
ARCH PETROLEUM INC,ARCH.2,722144,5172
ARCHER-DANIELS-MIDLAND CO,ADM,7084,2070
ARCHIE ENTERPRISES INC,ARCH.1,7097,2721
ARCHIVE CORP,ACHV.1,731655,3572
ARCHON INC,AHON,7105,2834
ARCS EQUITIES CORP,AREQ,7118,7389
ARDEN GROUP INC  -CL A,ARDNA,225051,5411
ARDEN INTL KITCHEN INC,AIKI.1,353575,2030
AREX INDUSTRIES INC,1715B,7160,5912
ARGONAUT ENERGY CORP,ARGN.,7184,1311
ARGOSYSTEMS INC,ARGI.1,201131,3812
ARIES CORP,ARIE,7207,7370
WASHINGTON MUTUAL FINL CORP,WM1,7214,6141
HOMEFREE VILLAGE RESORTS,8227B,65291,6531
ARISTO FOODS INC,1968B,7215,5812
ARIZONA BANCWEST CORP,AZBW,357297,6020
ARIZONA PUBLIC SERVICE CO,PNW1,7286,4911
ARCBEST CORP,ARCB,894405,4213
ENTERGY ARKANSAS,ETR1,7323,4911
NORAM ENERGY CORP,CNP2,7314,4923
ARKWIN INDUSTRIES INC,1192B,7340,3490
ARLEN CORP,ARRD,7346,9995
ARLEY MERCHANDISE CORP,ARY.1,752313,2390
ARLINGTON REALTY INVESTORS,6194B,85942,6798
ARMAC ENTERPRISES INC,ARI.5,7376,3944
ARMADA CORP,3AMDA,7377,3350
