conm,tic,cik,sic
FORECAST GROUP  - LP,3220B,915350,1520
FUTURELINK CORP,FTRLQ,1061399,7373
IONICA GROUP PLC,3IONCY,1041008,6794
MONARCH DENTAL CORP,MDDS,1009900,8000
GRAND BANKS ENERGY CORP,PAABF,828545,1311
KASPER A S L LTD,KASPQ,1037067,2330
FOX & HOUND RESTAURANT GROUP,FOXX,1035374,5812
RIT TECHNOLOGIES LTD,RITT,1041844,3576
CAPITAL BANK CORP/NC,CBKN,1071992,6020
CREATIVE HOST SERVICES INC,CHST.,933098,5812
FRIEDE GOLDMAN HALTER INC,FGHLQ,1039780,3533
PINNACLE BANKSHARES CORP,PPBN,1031233,6020
VARTECH SYSTEMS  INC,VRTK,846535,5960
NOVEL DENIM HOLDINGS LTD,NVLD.1,1041868,2211
COMMSCOPE INC,CTV.1,1035884,3357
EXCELSIOR-HENDERSON MTRCYCLE,EXCE.1,1017904,3751
GENERAL SEMICONDUCTOR INC,SEM.2,40656,3674
JLM INDUSTRIES INC,JLMI,1038237,5160
TRAILER BRIDGE INC,TRBRQ,1039184,4213
IPL INC,IPI.Z,52530,3089
QUIETPOWER SYSTEMS INC,KWT.1,924233,3690
TELEGROUP INC,TGRP.1,1037535,4813
CMP MEDIA INC  -CL A,CMPX.,1034139,2721
CHOICEPOINT INC,CPS.1,1040596,6411
SCHEID VINEYARDS INC  -CL A,SVIN,1039213,100
GALILEO INTERNATIONAL INC,GLC.3,1039300,7370
GALILEO TECHNOLOGY LTD,GALT.,1041840,3674
BIORELIANCE CORP,BREL,1036629,8731
NETBANK INC,NTBKQ,1035826,6035
CORSAIR COMMUNICATIONS INC,CAIR,1028285,7373
EVANS BANCORP INC,EVBN,842518,6020
KING POWER INTL GROUP LTD,KPG,787690,5990
VESTCOM INTERNATIONAL INC,VESC,1034941,2750
ONSTREAM MEDIA CORP,ONSM,919130,7370
ARIZONA STAR RESOURCE CORP,AZS,809103,1040
CONCENTRIC NETWORK CORP,CNCX,1007304,7370
CONTINENTAL NATURAL GAS INC,CNGL.1,1038183,4924
CEATECH USA INC,CEAH,943941,200
EDAP TMS SA  -ADR,EDAP,1041934,3845
PACIFIC SYSTEMS CONTROL TECH,PFSY,1034840,3825
AT ENTERTAINMENT INC,ATEN.1,1041454,4841
AZUREL LTD,AZUR.1,1000897,2844
FOCUS ENTERTAINMENT INTL INC,FEII,1093663,5940
MARCAM SOLUTIONS INC,MRCM,1040622,7372
CYBERIA HOLDINGS INC,3CBHDE,929752,7370
DCB FINANCIAL CORP,3DCBF,1025877,6020
HALL KINION & ASSOCIATES INC,HAKI,1009657,7363
OCULAR SCIENCES INC,OCLR.,882484,3851
COGENTIX MEDICAL INC,CGNT.1,894237,3842
CARRIZO OIL & GAS INC,CRZO,1040593,1311
EAGLE GEOPHYSICAL INC,EAGL10.,1039971,1382
FINE AIR SERVICES INC,BIGF,1040353,4512
IMPAC COML HLDGS INC  -COM,ICH.1,1036615,6798
QAD INC,QADA,1036188,7370
UMPQUA HOLDINGS CORP,UMPQ,1077771,6020
CHINA BOTANIC PHARMACEUTICAL,CBPI,926844,9995
TRI CITY BANKSHARES CORP,TRCY,313337,6020
WGNB CORP,WGNB,1115568,6020
DIAMOND HILL INVESTMENT GRP,DHIL,909108,6282
PEGASUS SOLUTIONS INC,PEGS,1040261,7370
PROGENITOR INC,PGEN.1,936537,2836
WOW UNLIMITED MEDIA INC,WOWFF,1690808,7819
OMTOOL LTD,OMTL,1020579,7372
GLOBECOMM SYSTEMS INC,GCOM,1031028,4899
DENISON INTL PLC  -ADR,DENHY,1042598,3590
HELIOS AND MATHESON ANALYTIC,HMNY,1040792,7370
ARCELORMITTAL,MT,1243429,3312
PAN PAC RETAIL PPTYS INC,PNP,1040454,6798
WARNER CHILCOTT PLC -ADR-OLD,WCRX.,1042459,2834
SIROCCO MINING INC,ATAAF,906368,1400
EAGLETECH COMMUNICATIONS INC,EATC,1101934,4812
WESTAIM CORP,WEDXF,1108828,6799
COMPUTER MOTION INC,RBOT.1,906829,3841
F N B CORP/VA,FNBP.1,1010961,6020
FINE.COM INTERNATIONAL CP,FDOT,1034073,7370
SPECTRUM ORGANIC PRODUCTS,3SPOP,1034992,2070
FTM MEDIA INC,FTMX,1004991,7330
SYNTEL INC,SYNT,1040426,7370
TRAVELBYUS INC,3TRIPE,355906,1700
BRIGHT HORIZONS FAMILY SOLTN,BFAM,1437578,8351
OSF INC-OLD,OSFIF,886909,2540
DISCAS INC,3DSCSE,786364,3080
INTERNATIONAL ISOTOPES INC,INIS,1038277,2835
ON STAGE ENTERTAINMENT INC,ONST,1035514,7900
PATHWAYS GROUP INC,GARS.1,1039759,7373
STERIGENICS INTL INC,STER,1009988,8090
AEHR TEST SYSTEMS,AEHR,1040470,3825
SL GREEN REALTY CORP,SLG,1040971,6798
TRENDWEST RESORTS INC,TWRI,1021252,6531
TV AZTECA SA DE CV,TZA.1,1023025,4833
ECO ORO MINERALS CORP,GYSLF,1408679,1040
LEUKOSITE INC,LKST.,915320,2836
POSITRON FIBER SYSTEMS CORP,PFSCF.,1041754,3661
MIDAMERICAN ENERGY CO,MEC1,928576,4931
VISION TWENTY-ONE INC,EYES.1,1020258,6324
CLEARVIEW CINEMA GROUP INC,CLV.2,1038754,7830
U S MICROBICS INC,BUGS,774454,4955
BAYOU CITY EXPLORATION INC,BYCX,1050957,1311
ORTHALLIANCE INC  -CL A,ORAL,1039139,8741
U S LIQUIDS INC,USLQ,1041095,4953
ROTATE BLACK INC,ROBK,1020477,7990
CTB INTERNATIONAL CORP,CTBC.1,1038005,3523
INSPIRE INS SOLUTIONS INC,3NSPRQ,1042051,6411
KENDLE INTERNATIONAL INC,KNDL,1039151,8731
PRODUCTEXPRESS.COM EBUS SVC,PXPS,1041479,5190
URANIUM ONE INC,SXRZF,1433533,1000
STERLING BANKS INC,STBK.,1358697,6020
EXECUSTAY CORP,EXEC,1041540,6513
AUTHENTIC SPECIALTY FOOD INC,ASFD.,1041382,2090
NOTIFY TECHNOLOGY CORP,NTFY,1031980,3661
PRICESMART INC,PSMT,1041803,5331
VIRTRA INC,VTSI,1085243,3690
AMERICAN CAPITAL LTD,ACAS,817473,6797
ATMOSPHERIC GLOW TECH INC,AGWTQ,1020676,8731
SOLUTIA INC,SOA,1043382,2820
PROVIDIAN CORP,PVN.2,17206,6311
ROYAL PRECISION INC,3RIFL,1016395,3949
COMPASS PLASTICS & TECH INC,CPTI.1,1040525,3089
NICHOLAS FINANCIAL INC,NICK,1000045,6153
TRIPATH IMAGING INC,TPTH,1041426,3826
ODYSSEY MARINE EXPLORATION,OMEX,798528,4400
SIGA TECHNOLOGIES INC,SIGA,1010086,2836
LUNA GOLD CORP,LGCUF,1331206,1040
ELBIT IMAGING LTD,EMITF,1027662,6512
ELBIT SYSTEMS LTD,ESLT,1027664,7373
9278 COMMUNICATIONS INC,3NTSE,1081831,7389
JAWZ INC,NASV,1415998,7372
SIGNATURE EYEWEAR INC,SEYE,1036292,3851
CLAUDE RESOURCES INC,CLGRF,1173924,1040
MERITOR INC,MTOR,1113256,3714
URIGEN PHARMACEUTICALS -REDH,7262B,932352,2836
PETMED EXPRESS INC,PETS,1040130,5912
DOT HILL SYSTEMS CORP,HILL,1042783,3572
NEWCOM INC,NEWC.2,1042100,3577
YUM BRANDS INC,YUM,1041061,5812
CIBT EDUCATION GROUP INC,MBAIF,1123870,8200
COYOTE SPORTS INC,TSPT.1,1040761,3949
CRESCENDO PHARM CORP  -CL A,CNDO.1,1042138,2836
FARO TECHNOLOGIES INC,FARO,917491,3829
KEYSTONE ENERGY SERVICES INC,KESE,1053243,6799
MODERN TIMES GROUP MTG AB,MTGNY,1404424,4833
SECURITY CAP GRP INC  -CL B,SCZ.3,923687,6799
SHORE FINANCIAL CORP,SHBK,1045690,6020
CABLE MICHIGAN INC,CABL.1,1041855,4841
E MACHINERY.NET INC,3EMACE,844893,7370
CHILDRENS PLACE INC,PLCE,1041859,5600
MED DIVERSIFIED INC,MDDVQ,800181,8082
IL FORNAIO AMERICA CORP,ILFO,724522,5812
INTERNATIONAL TOTAL SVCS INC,ITSW,1040993,4581
PROBUSINESS SERVICES INC,PRBZ.,1028751,8721
STEWARDSHIP FINANCIAL CORP,SSFN,1023860,6020
PEAKSOFT MULTINET CORP,PEAMF,1058429,9995
RCN CORP,RCNI,1041858,4841
UNIFAB INTERNATIONAL INC,UFAB.1,101990,3533
GLOBAL AXCESS CORP,GAXCQ,852570,6099
BLACKROCK MUNIHLD NY QLTY FD,MHN,1038186,6726
FLAGSHIP GLOBAL HEALTH INC,FGHH,1051985,8090
ISONICS CORP,ISON,1023966,7380
SPECTRUM BRANDS HOLDINGS INC,SPB.1,1487730,3690
RADCOM,RDCM,1016838,7370
TEFRON LTD,TFRFF,1044863,2340
BORON LEPORE & ASSOCS,BLPG.,1029281,8742
AMEN PROPERTIES INC,AMEN,1037599,1311
EDUTREK INTL INC  -CL A,3EDUT,1041075,8200
EDWARDS J D & CO,JDEC,798757,7372
1ST CONSTITUTION BANCORP,FCCY,1141807,6020
INDUSTRIAL DISTR GROUP INC,IDGR,1042351,5080
RENAISSANCE LEARNING INC,RLRN,1030484,7372
ASIA ELECTRONICS HOLDING CO,AEHZ,1041651,3679
BRIDGESTREET ACCOMMODATIONS,BDS.1,1038078,6531
FULLPLAY MEDIA SYSTEMS INC,FPLYQ,1060228,7373
STAR BUFFET INC,STRZ,1043156,5812
STELLARONE CORP,STEL,1036070,6020
WALKING CO HOLDINGS INC,WALKQ,1019439,5651
NETWORK SOLUTIONS INC,NSOL.,1030341,7370
XO HOLDINGS INC -CL A,3XOHO,1111634,4813
PERVASIVE SOFTWARE INC,PVSW,1042821,7372
PRIME BANCSHARES INC/TX,PBTX,1043446,6020
BEI TECHNOLOGIES INC,BEIQ,1041866,3679
BLACKROCK MUNIHLD INVST QLTY,MFL,1045126,6726
NORDIC AMERICAN TANKERS LTD,NAT,1000177,4400
BELL CANADA INTL INC,BCICF,1119954,9995
BEST SOFTWARE INC,BEST.1,1043431,7372
GULF INDONESIA RESOURCES LTD,GRL.1,1045212,1311
OROMIN EXPLORATIONS LTD,OLEPF,1109141,1000
RSL COMMUNICATIONS  -CL A,RSLCF,1036297,4813
ENGEL GENERAL DEVELOPERS LTD,ENGE,1045974,1531
ANNAPOLIS BANCORP INC,ANNB,1041429,6020
PINE VALLEY MINING CORP,PVMCF,749750,1220
IVEX PACKAGING CORP,IXX,900367,3089
OMEGA ORTHODONTICS INC,3ORTH,1032628,8741
TRADESTATION GROUP INC,TRAD,1111559,6211
CHARLESTOWNE PREM BEVERAGE,FPWM,1066978,6200
HYPERCOM CORP,HYC,1045769,3578
STRATESEC INC,SFTC,1037453,3669
PACIFIC CONTINENTAL CORP,PCBK,1084717,6020
COGNICASE INC,COGI.1,1042682,7372
COMPRESSENT CORP,3CSNEE,1013273,7372
NET 1 UEPS TECHNOLOGIES INC,UEPS,1041514,7374
OREGON TRAIL FINANCIAL CORP,OTFC,1041122,6035
ACS MOTION CONTROL LTD,ACSEF,1038144,7373
CAMDEN NATIONAL CORP,CAC,750686,6020
JEVIC TRANSPORTATION,JEVC,1044066,4213
LOGILITY INC,LGTY,1043915,7372
IDENTIV INC,INVE,1036044,3577
POWER-ONE INC,PWER,1042825,3679
ANNALY CAPITAL MANAGEMENT,NLY,1043219,6798
INFOWAVE SOFTWARE INC,IWFSF,1074564,7372
MDI ENTERTAINMENT INC,3LTRY,1045080,7990
MICROCELL TELECOMMUN  -CL B,0405B,1018350,4812
RENEX CORP,RENX.,911953,8090
A.C. MOORE ARTS & CRAFTS INC,ACMR.1,1042809,5945
AMER ITALIAN PASTA CO  -CL A,AIPC,849667,2090
DECOR GROUP INC,3DECG,1016393,3440
STARTEC GLOBAL COMMUNICTNS,STGCQ,1043310,7370
PETERSEN COMPANIES  -CL A,PTN.2,1043412,2721
RNETHEALTH INC,BRYN,1017822,7822
CORIXA CORP,CRXA,1042561,2836
AEGIS REALTY INC,AER.3,1043324,6798
BANCO SANTANDER RIO SA,BSAR,1515794,6020
INTERCORP EXCELLE INC,RENE,1039467,2030
KOFAX IMAGE PRODUCTS INC,KOFX,1045035,3576
NATIONAL RESEARCH CORP,NRC,70487,7389
SILVER STATE BANCORP,SSBXQ,1362719,6020
STONERIDGE INC,SRI,1043337,3679
TOWER REALTY TRUST INC,TOW.,1037711,6798
TRACK N TRAIL INC,TKTL,1029932,5661
U S A FLORAL PRODUCTS INC,ROSI,1043438,5190
SPR INC,SPRI.,1026493,7370
RITCHIE BROS AUCTIONEERS INC,RBA,1046102,7389
TIME WARNER ENTMT CO  -LP,3260B,893657,4841
OSI SYSTEMS INC,OSIS,1039065,3844
C H ROBINSON WORLDWIDE INC,CHRW,1043277,4213
MIDDLEBURG FINANCIAL CORP,MBRG,914138,6020
LNR PROPERTY CORP,LNR.2,1043044,6799
SAPUTO INC,SAPIF,1177650,2020
CHOICE HOTELS INTL INC,CHH,1046311,6794
CENTERLINE HOLDING CO,CLNH.1,1043325,6111
CONCORD COMMUNICATIONS INC,CCRD.1,915290,7372
VLPS LIGHTING SERVICES INTL,LITE.1,1033491,7359
IMPERIAL CR COML MTG INVT CO,ICMI.,1042824,6798
MAC-GRAY CORP,TUC,1038280,7200
MINERA ANDES INC,3MNEAF,1030219,1000
N2K INC,NTKI.1,791704,5961
BRAVO BRANDS INC,BRVO.,1061029,2020
CENTRESPACE,CSR,798359,6798
FAIRCHILD SEMICONDUCTOR INTL,FCS,1036960,3674
NEUTRAL POSTURE ERGONOMICS,NTRL,1042488,2522
PETROGLYPH ENERGY INC,PGEI.,1038052,1311
PRIMEWEST ENERGY TRUST,PWI.1,1136201,1311
ROCK OF AGES CORP  -CL A,ROAC,84581,1400
SUCCESS BANCSHARES INC,SXNB,1009569,6020
FIRST ALLIANCE CP/KY,3FIAU,910603,6311
CHINA MOBILE LTD,CHL,1117795,4812
CARDINAL COMMUNICATIONS INC,CDCI,1035398,6552
OAO TECHNOLOGY SOLUTIONS INC,OAOT,1043476,7370
ALLERGY RESEARCH GROUP INC,3ALRG,1044119,2834
WHITE CAP INDUSTRIES INC,WHCP,1044100,5072
AMERIPATH INC,0080A,1027532,8071
MEDIABAY INC,MBAY,1040973,9995
DRIL-QUIP INC,DRQ,1042893,3533
INNOVATIVE VALVE TECH INC,3IVTC,1036442,7600
ORBITAL ENERGY GROUP INC,OEG,1108967,1623
INTERMEC INC,IN,1044590,3577
ITC DELTACOM INC,3ITCD,1041954,4813
PAULA FINANCIAL/DE,PFCO,929031,6331
PRIORITY HEALTHCARE CP -CL B,PHCC.1,1037975,5122
EAGLE BROADBAND INC,EAGB,1023139,4899
SIENNA RESOURCES INC,SNNAF,1160191,1000
MERCANTILE BANK CORP,MBWM,1042729,6020
OUTSOURCE INTERNATIONAL INC,OSIXQ,1013316,7363
SENSE TECHNOLOGIES INC,SNSGF,1077638,3812
TERAGLOBAL COMMUNICATIONS CO,3TGCM,1071876,7372
REMY INTERNATIONAL INC,REMY,1046859,3690
FIRST CANADIAN AMER HLDG CP,BKMP,1392285,6324
AMNET MORTGAGE INC,AMNT.,1035744,6162
BERINGER WINE EST HLD  -CL B,BERW,1041891,2084
CASELLA WASTE SYS INC  -CL A,CWST,911177,4953
INHIBITOR THERAPEUTICS INC,INTI,1042418,2836
MMC NETWORKS INC,MMCN,1044660,3571
ABOVENET INC,ABVT,1043533,4899
TROPICAL SPORTSWEAR INTL CP,TSICQ,1044324,2320
ZYMETX INC,ZMTX,921439,2835
EPR PROPERTIES,EPR,1045450,6798
AMF BOWLING INC,AMBWQ,1044612,7900
CAROLINA BANK HOLDINGS INC,CLBH,1127160,6020
FAROUDJA INC,FDJA,1034365,3663
LADENBURG THALMANN FINL SERV,LTS,1029730,6211
GROUP 1 AUTOMOTIVE INC,GPI,1031203,5500
ORBIT E-COMMERCE INC,OECI,71391,4899
TRANSCOASTAL MARINE SVCS INC,TCSM,1043119,1600
UBICS INC,UBIX,1045445,7370
AVTEAM INC  -CL A,AVTMQ,1013787,5080
CAPITAL SENIOR LIVING CORP,CSU,1043000,8300
INTL MANUFACTURING SVCS INC,IMSX,1018797,3670
CANNABIS SCIENCE INC,CBIS,1024626,2834
NOVATION COS INC,NOVC,1025953,7361
NOVAMERICAN STEEL INC-OLD,TONS.1,1046687,3312
PERICOM SEMICONDUCTOR CORP,PSEM,1001426,3674
CAPTEC NET LEASE REALTY INC,CRRR,1045281,6798
SONORAN ENERGY INC,SNRNQ,1101661,1311
HOWMET INTERNATIONAL INC,HWM.1,1047378,3724
UNIVERSAL COPPER LTD,ECMXF,1578010,1000
TIMIOS NATIONAL CORP,HOMS.1,1006459,6532
DENTAL CARE ALLIANCE INC,DENT.,1044914,8741
1ST CENTENNIAL BANCORP,FCEN.1,1097081,6020
SELECT THERAPEUTICS INC,STLT.,1037158,2834
T & W FINANCIAL CORP,TWFCQ,1041077,6159
BAYARD DRILLING TECHNOLOGIES,BDI.2,1044478,1381
YUNHONG CTI LTD,CTIB,1042187,3060
EXCEL SWITCHING CORP,XLSW,1036261,3661
INTERNATIONAL AIRCRAFT INVS,IAIS,1029688,7359
YOUNG INNOVATIONS INC,YDNT,949874,3843
METTLER-TOLEDO INTL INC,MTD,1037646,3826
TRAMMELL CROW CO,TCC.1,1022438,6531
HOMEUSA INC,HSH.1,1045989,5271
AMERICAN SKIING CO,3AESK,1043432,7990
BAY BANCSHARES INC,BAYB,1046406,6020
CADILLAC FAIRVIEW CORP,CDF,1045214,6512
MELDEX INTL PLC,MLGGY,1210959,2834
LINC CAPITAL INC,LNCC,936094,5084
PRECISION AUTO CARE INC,PACI,1038541,7500
SOMNUS MED TECHNOLOGIES INC,SOMN,1026405,3845
BARBEQUES GALORE LTD  -ADR,BBQZY,1047326,5990
BRIGHT HORIZONS INC,BRHZ,1025702,8351
ESAT TELECOM GROUP,ESAT,1042797,4813
ENCOMPASS SERVICES CORP,3ESVNQ,1039690,1731
MIDWESTONE FINANCIAL GROUP,MOFG,1412665,6020
METALLURG INC,3MEAL,1030992,3310
CAPITAL FINANCIAL HLDGS INC,CPFH,944696,6211
RADIOLOGIX INC,RGX.1,1031329,8093
SYNDICATED FOOD SERVICE INTL,SYFSQ,1044434,5812
BATTLE NORTH GOLD CORP,BNAUF,1057791,1040
DEGAMA SOFTWARE SOLUTIONS,DGMA,1044167,7370
ECHO THERAPEUTICS INC,ECTE,1031927,3842
NOVACARE EMPLOYEE SVCS INC,NCES,1045536,8741
ICON HEALTH & FITNESS INC,0155A,934798,3949
HYBRID NETWORKS INC,HYBR,900091,7373
PYR ENERGY CORP,PYR.1,1016289,1311
PRIME GROUP REALTY TRUST,PGE,1042798,6798
SONIC AUTOMOTIVE INC  -CL A,SAH,1043509,5500
SAMARITAN PHARMACEUTICALS,SPHC,1057377,2836
MAX INTERNET COMM INC,CNHC,1061554,3577
BINGHAM FINANCIAL SERVICES,3BFSC,1044862,6162
SPORTSLINE.COM INC,SPLN.,945688,7370
GENERAL ENVIRONMENTAL MGMT,GEVI,894556,4955
VIRGIN EXPRESS HOLDINGS PLC,VIRGY,1048420,4512
WESTOWER CORP,WTW.1,1043274,1540
CHARLES & COLVARD LTD,CTHR,1015155,3290
IRI INTERNATIONAL CORP,IIR,1044979,3533
INTEGRATED BUSINESS SYS &SVC,IBSS,1040863,7372
FUTURIS CO,MISMD,1041633,1311
POPMAIL.COM INC,POPM,1044738,7370
OPEN EC TECHNOLOGIES INC,OCEIF,1108940,7372
DENALI INC,3DNLI,1046594,3089
TRANSEURO ENERGY CORP,TSUAF,1322771,1311
LANDMARK SYSTEM CORP,LDMK,854418,7372
MCCOY GLOBAL INC,MCCRF,63789,3533
FRANCHISE MTG ACCEPTANCE CO,FMAX.1,1045007,6159
INTERNATIONAL HOME FOODS INC,IHF.1,1027881,2030
PROGENICS PHARMACEUTICAL INC,PGNX,835887,2836
AFRICAN METALS CORP,AFMCF,1053143,1000
QUERYOBJECT SYSTEMS CORP,QOBJ,855743,7372
NOVADEL PHARMA INC,NVDL,1043873,2834
INFORMATION HWY.COM INC,IHWY,1081240,7370
INTERVU INC,ITVU,1011418,7370
NOBLE INTERNATIONAL LTD,NOBLQ,1034258,1700
PREVIEW TRAVEL INC,PTVL.1,1047121,4700
SB ONE BANCORP,SBBX,1028954,6020
AFFILIATED MANAGERS GRP INC,AMG,1004434,6282
APPLIED FILMS CORP,AFCO.1,1040660,3559
ORE HOLDINGS INC,ORXE,1043914,2834
HEALTHWORLD CORP,HWLD,1044993,7311
LONG ISLAND FINANCIAL CORP,LICB,1070517,6020
GEOSPACE TECHNOLOGIES CORP,GEOS,1001115,3829
ENHERENT CORP,ENHT,1045560,7363
REALNETWORKS INC,RNWK,1046327,7370
TELIGENT INC -OLD,3TGNTQ,1047021,4812
APPLIED MICRO CIRCUITS CORP,AMCC,711065,3674
INOTIV INC,NOTV,720154,8731
FIBERNET TELECOM GROUP INC,FTGX,1001868,4813
FREEPORT MCMORAN SULPHUR INC,FSC.2,1046204,1400
GAMETECH INTERNATIONAL INC,GMTCQ,1045014,3944
HOLTS CIGAR HOLDINGS INC,HOLT,1045549,5190
LETS TALK CELLULAR &WIRELESS,3LTCW,1044440,5990
MOTOR CARGO INDUSTRIES INC,CRGO.,1047073,4213
PAPER WAREHOUSE INC,PWHSQ,934509,5940
DELPHI ENERGY CORP,DPGYF,1367338,1311
BENCKISER NV,BNV.,1048131,2840
GOLDEN MINERALS CO,AUMN,1011509,1040
ALPHASTAR INSURANCE GRP LTD,ASIGF,1043309,6331
BRASS EAGLE INC,XTRM.1,1046112,3949
CSB BANCORP INC/OH,CSBB,880417,6020
LASER MORTGAGE MGMT INC,3LSMM,1046099,6798
MEADOWCRAFT INC,MWI.2,1043339,2510
INTERLEUKIN GENETICS INC,ILIU,1037649,2835
BUILDING ONE SERVICES CORP,BOSS.1,1046304,8744
NANOPHASE TECHNOLOGIES CORP,NANX,883107,3290
ASSERTIO HOLDINGS INC,ASRT,1005201,2834
MPW INDUSTRIAL SERVICES GRP,MPWG,1047098,7340
INDL ENTERPRISES OF AMERICA,IEAM,1059677,2990
TOTAL ENERGY SERVICES INC,TOTZF,1696554,7359
APEX MORTGAGE CAPITAL INC,AXM,1045956,6798
C&F FINANCIAL CORP,CFFI,913341,6020
IMAGEMAX INC,IMAG,1046032,7373
ALLSTREAM INC -CL B,ALLSB,1045359,4813
ENVISION HEALTHCARE CORP,EVHC,1678531,8011
INTERVEST BANCSHARES CORP,IBCA,927807,6020
MIDWAY AIRLINES CORP,MDWYQ,946323,4512
OMNI ENERGY SERVICES CORP,OMNI,1046212,1381
MENTERGY LTD,MNTEF,1049258,8200
U S TIMBERLANDS CO  -LP,3TIMBZ,1043012,2400
FEDERAL TRUST CORP,3FDTR,842640,6035
BLACKBERRY LTD,BB,1070235,7372
USWEB CORP,USWB,1010724,7373
MANHATTAN SCIENTIFICS INC,MHTX,1099132,8731
MCY.COM INC,MCYC,1020669,7370
WI-FI TV INC,WIFT,1066624,7822
ROUTE1 INC,ROIUF,1736289,3663
ACRE REALTY INVESTORS INC,AIII,1011109,6798
SKY NETWORK TELEVISION LTD,NZSKY,1050006,4841
FRIENDLY ICE CREAM CORP,FRN.2,39135,5812
ASPEN GROUP RESOURCES CORP,ASRPF,1023947,1311
INGREDION INC,INGR,1046257,2040
HINTERLAND METALS INC -OLD,HNLMF.1,1509532,1040
BRILLIANT TECHNOLOGIES CORP,BLLN,1054825,6799
THERMO VISION CORP,VIZ,1044864,3827
ICOS VISION SYSTEM NV,IVISF,1049253,3559
MDU COMMUNICATIONS INTL INC,MDTV,1086139,4899
FLEXIINTERNATIONAL SOFTWARE,FLXI,1015464,7372
FOCAL INC,FOCL,911684,3841
BLUE RIDGE MOUNTAIN RESOURCE,BRMR,1335190,1311
FOOTBALL EQUITIES INC,FBLQ,1042456,7900
POWER INTEGRATIONS INC,POWI,833640,3674
SPECTRA-PHYSICS INC,SPLI.1,1047385,3690
BIORESTORATIVE THERAPIES INC,BRTX,1505497,2836
CONNING CORP,CNNG,801051,6282
GABRIEL TECHNOLOGIES CORP,GWLKQ,1009833,3990
AIR WATER INTERNATIONAL CORP,AWTI,1098207,3580
PENTACON INC,PTACQ,1050504,5072
HAWK CORP,HWK,849240,3490
INFORMATION ADVNTGE SOFTWARE,IACO,1047118,7372
OFFICIAL PAYMENTS HLDGS INC,OPAY,1045150,7370
ANGIOTECH PHARMACEUTICALS,ANPM,1096481,3841
DOLLAR THRIFTY AUTOMOTIVE GP,DTGF,1049108,7510
PASSPORT BRANDS INC,PBIX,1041179,2320
LECG INC,XPT,1047749,8700
UNITED RENTALS INC,URI,1067701,7350
MADE2MANAGE SYSTEMS INC,MTMS.,1038271,7372
NEW AGE METALS INC,NMTLF,1073238,1090
PACIFICHEALTH LABORATORIES,PHLI,1000278,2833
BIG CITY RADIO INC  -CL A,BCYRA,1046284,4832
ARLINGTON ASSET INVESTMENT,AAIC,1209028,6799
WARWICK CMNTY BANCORP INC,WSBI,1046209,6036
SOUTHWEST CMNTY BANCORP,SWCB,1275873,6020
STATEN ISLAND BANCORP INC,SIB.,1042801,6035
VSB BANCORP INC/NY,VSBN,1225874,6020
Q SEVEN SYSTEMS INC,QSSY,1033504,8700
AMERICAN SOIL TECHNOLOGIES,SOYL,1031896,2870
AGRITOPE INC,AGTO,1044865,100
UNION COMMUNITY BANCORP,UCBC,1046183,6035
SURREY INC,SOAP.,1044847,2840
CODDLE CREEK FINANCIAL CORP,CDLX.1,1045944,6036
EMERGING COMMUNICATIONS INC,ECM,1042647,4813
JANUS HOTELS & RESORTS INC,3JAGI,1020359,7011
SPACEDEV INC,3SPDV,1031833,3760
ACCESS POWER INC,ACCR,1041588,7370
ADVANCED OPTICS ELECTRONICS,ADOT,1020657,3577
ADVANCED ENGINE TECHNOLOGIES,AENG,1043225,3510
SVC FINANCIAL SERVICES INC,SVCX,1092753,7372
AUSTRALIAN OIL & GAS CORP,AOGC,1080634,1311
NANO WORLD PROJECTS CORP,3NAPHE,6019,2820
CNBC BANCORP,CNBD,1050078,6020
SAN HOLDINGS INC,SNZH,799097,7373
EASTERN VA BANKSHARES INC,EVBS,1047170,6020
AMERICAN INTERNATIONAL INDS,AMIN,1073146,1311
GREAT PEE DEE BANCORP INC,PEDE.1,1046587,6035
HAYES CORP,HAYEQ,1020319,3661
NORWOOD FINANCIAL CORP,NWFL,1013272,6020
TRIMOL GROUP INC,TMOL,1011733,9995
OAK VALLEY BANCORP,OVLY,1431567,6020
OLD LINE BANCSHARES INC,OLBK,1253317,6020
3DSHOPPING .COM,THDS,1081920,7330
PACIFIC STATE BANCORP/CA,PSBC,1169424,6020
EPIXTAR CORP,EPXR,1099730,7370
BLACKSTAR ENTERPRISE GROUP,BEGI,1483646,6159
BANK OF THE NORTHWST PORTLND,BKNW,1178983,6020
ECO2 PLASTICS INC,EOPIQ,855372,3559
COLUMBIA BANCORP/OR,CBBO,1010002,6020
FIRST LITCHFIELD FINANCIAL,3FLFL,840886,6020
BMP SUNSTONE CORP,BJGP,1281696,2834
SECURED DIGITAL APPLICATIONS,SDGL,940516,7812
KILLBUCK BANCSHARES INC,KLIB,1060455,6020
KISH BANCORP INC,KISB,803742,6020
UCAP INC,UCAP.,855684,6162
LCNB CORP,LCNB,1074902,6020
MATECH CORP,MTCH.3,1036668,3823
MCHENRY METALS GOLF CORP,3GLFN,1046472,3949
MILLER ENERGY RESOURCES INC,MILLQ,785968,1311
HOPE BANCORP INC,HOPE,1128361,6020
SULPHCO INC,SLPHQ,1096560,3559
IMCOR PHARMACEUTICAL CO,IRMC,761237,2835
JACOBSON RESONANCE ENTPRSES,JRSE,1089393,8731
